text,label,source,type
"Le présent traité a pour objet l’harmonisation du droit des affaires dans les Etats Parties, par l’élaboration et l’adoption des règles communes, simples, modernes et adaptées à la situation de leurs économies, par la mise en œuvre de procédures judiciaires appropriées, et par l’encouragement au recours à l’arbitrage pour le règlement des différends contractuels.",droit_commercial,"Code Bleu OHADA, art. 1",article
Que dit le droit OHADA concernant : le présent traité a pour objet l’harmonisation du droit des affaires dans les etats,droit_commercial,"Code Bleu OHADA, art. 1",query_variant
"Pour l’application du présent traité, entrent dans le domaine du droit des affaires, l’ensemble des règles relatives au droit des sociétés et au statut juridique des commerçants, au recouvrement des créances, aux sûretés et aux voies d’exécution, au régime du redressement des entreprises et de la liquidation judiciaire, au droit de l’arbitrage, au droit du travail, au droit comptable, au droit de la vente et des transports et toute autre matière que le Conseil des Ministres déciderait, à l’unanimité, d’y inclure, conformément à l’objet du présent traité et aux dispositions de l’article 8.",droit_commercial,"Code Bleu OHADA, art. 2",article
"Quelles sont les règles applicables en matière de : pour l’application du présent traité, entrent dans le domaine du droit des affaires, l’ensemble",droit_commercial,"Code Bleu OHADA, art. 2",query_variant
"La réalisation des tâches prévues au présent Traité est assurée par une organisation dénommée Organisation pour l’Harmonisation en Afrique du Droit des Affaires (OHADA). L’OHADA comprend la Conférence des Chefs d’Etat et de Gouvernement, le Conseil des Ministres, la Cour Commune de Justice et d’Arbitrage et le Secrétariat Permanent. Le siège de l’OHADA est fixé à Yaoundé en République du Cameroun. Il peut être transféré en tout autre lieu sur décision de la Conférence des Chefs d’Etat et de Gouvernement.",droit_commercial,"Code Bleu OHADA, art. 3",article
"En droit commercial OHADA, que se passe-t-il quand la réalisation des tâches prévues au présent traité est assurée par une organisation dénommée",droit_commercial,"Code Bleu OHADA, art. 3",query_variant
"Des règlements pour l’application du présent Traité et des décisions seront pris, chaque fois que de besoin, par le Conseil des Ministres, à la majorité absolue. Titre II : LES ACTES UNIFORMES",droit_commercial,"Code Bleu OHADA, art. 4",article
"J'ai une question de droit des affaires OHADA sur : des règlements pour l’application du présent traité et des décisions seront pris, chaque fois",droit_commercial,"Code Bleu OHADA, art. 4",query_variant
Les actes pris pour l’adoption des règles communes prévues à l’article premier du présent traité sont qualifiés « actes uniformes ».,droit_commercial,"Code Bleu OHADA, art. 5",article
"En droit commercial OHADA, que se passe-t-il quand les actes pris pour l’adoption des règles communes prévues à l’article premier du présent",droit_commercial,"Code Bleu OHADA, art. 5",query_variant
