text,label,source,type
"En Côte d'Ivoire, le taux normal de la Taxe sur la Valeur Ajoutée (TVA) est de 18 %. Ce taux s'applique à la majorité des biens et services vendus par les entreprises assujetties, dont le chiffre d'affaires annuel est égal ou supérieur au seuil d'assujettissement de 50 000 000 de francs CFA. (Remarque : ceci est un résumé de faits fiscaux confirmés, et non la citation exacte d'un article du Code Général des Impôts, dont le texte intégral n'a pas pu être vérifié.)",droit_fiscal,"Faits fiscaux confirmés sur la TVA ivoirienne (Code Général des Impôts, Livre II Titre I) — texte d'article non vérifié",article
"Quel est le taux de TVA applicable à : en Côte d'Ivoire, le taux normal de la Taxe sur la Valeur Ajoutée (TVA) est",droit_fiscal,"Faits fiscaux confirmés sur la TVA ivoirienne (Code Général des Impôts, Livre II Titre I) — texte d'article non vérifié",query_variant
"Il existe également un taux réduit de TVA de 9 % en Côte d'Ivoire, applicable à certains biens et produits déterminés par le Code Général des Impôts (notamment certains produits laitiers et de consommation courante), par opposition au taux normal de 18 % applicable à la généralité des biens et services. (Remarque : ceci est un résumé de faits fiscaux confirmés, et non la citation exacte d'un article du Code Général des Impôts, dont le texte intégral n'a pas pu être vérifié.)",droit_fiscal,"Faits fiscaux confirmés sur la TVA ivoirienne (Code Général des Impôts, Livre II Titre I) — texte d'article non vérifié",article
"Que dit la fiscalité ivoirienne sur : il existe également un taux réduit de TVA de 9 % en Côte d'Ivoire, applicable",droit_fiscal,"Faits fiscaux confirmés sur la TVA ivoirienne (Code Général des Impôts, Livre II Titre I) — texte d'article non vérifié",query_variant
"Une entreprise dont le chiffre d'affaires annuel est inférieur à 50 000 000 de francs CFA n'est en principe pas assujettie à la TVA et relève d'un régime d'imposition simplifié (par exemple la patente ou l'impôt synthétique selon son niveau de chiffre d'affaires), plutôt que du régime réel de la TVA réservé aux entreprises dépassant ce seuil. (Remarque : ceci est un résumé de faits fiscaux confirmés, et non la citation exacte d'un article du Code Général des Impôts, dont le texte intégral n'a pas pu être vérifié.)",droit_fiscal,"Faits fiscaux confirmés sur la TVA ivoirienne (Code Général des Impôts, Livre II Titre I) — texte d'article non vérifié",article
Peux-tu m'expliquer les règles de TVA concernant : une entreprise dont le chiffre d'affaires annuel est inférieur à 50 000 000 de francs,droit_fiscal,"Faits fiscaux confirmés sur la TVA ivoirienne (Code Général des Impôts, Livre II Titre I) — texte d'article non vérifié",query_variant
"Les entreprises assujetties à la TVA en Côte d'Ivoire relèvent soit du régime du réel normal (RRN), qui impose une déclaration et un paiement mensuels de la TVA collectée, soit du régime du réel simplifié d'imposition (RSI), destiné aux entreprises de taille plus modeste mais tout de même assujetties. (Remarque : ceci est un résumé de faits fiscaux confirmés, et non la citation exacte d'un article du Code Général des Impôts, dont le texte intégral n'a pas pu être vérifié.)",droit_fiscal,"Faits fiscaux confirmés sur la TVA ivoirienne (Code Général des Impôts, Livre II Titre I) — texte d'article non vérifié",article
J'ai une question de droit fiscal sur : les entreprises assujetties à la TVA en Côte d'Ivoire relèvent soit du régime du réel,droit_fiscal,"Faits fiscaux confirmés sur la TVA ivoirienne (Code Général des Impôts, Livre II Titre I) — texte d'article non vérifié",query_variant
"Dans le Code Général des Impôts ivoirien, les dispositions relatives à la TVA sont regroupées dans le Livre II, Titre I, qui est structuré en plusieurs sections traitant successivement des opérations imposables, des personnes assujetties, des règles de territorialité, des exonérations, puis de l'assiette, du taux et du fait générateur de la taxe. (Remarque : ceci est un résumé de faits fiscaux confirmés, et non la citation exacte d'un article du Code Général des Impôts, dont le texte intégral n'a pas pu être vérifié.)",droit_fiscal,"Faits fiscaux confirmés sur la TVA ivoirienne (Code Général des Impôts, Livre II Titre I) — texte d'article non vérifié",article
"Comment fonctionne la TVA en Côte d'Ivoire concernant : dans le Code Général des Impôts ivoirien, les dispositions relatives à la TVA sont regroupées",droit_fiscal,"Faits fiscaux confirmés sur la TVA ivoirienne (Code Général des Impôts, Livre II Titre I) — texte d'article non vérifié",query_variant
"La section du Code Général des Impôts consacrée aux opérations imposables à la TVA définit quelles opérations économiques (ventes de biens, prestations de services, importations) entrent dans le champ d'application de la taxe. (Remarque : ceci est un résumé de faits fiscaux confirmés, et non la citation exacte d'un article du Code Général des Impôts, dont le texte intégral n'a pas pu être vérifié.)",droit_fiscal,"Faits fiscaux confirmés sur la TVA ivoirienne (Code Général des Impôts, Livre II Titre I) — texte d'article non vérifié",article
Quel est le taux de TVA applicable à : la section du Code Général des Impôts consacrée aux opérations imposables à la TVA définit,droit_fiscal,"Faits fiscaux confirmés sur la TVA ivoirienne (Code Général des Impôts, Livre II Titre I) — texte d'article non vérifié",query_variant
