text,label,source,type
"Le présent Code du travail est applicable sur tout le territoire de la République de Côte d'Ivoire. Il régit des relations entre employeurs et travailleurs résultant de contrats de travail conclus pour être exécutés sur le territoire de la République de Côte d'Ivoire. Il régit également l'exécution occasionnelle, sur le territoire de la République de Côte d'Ivoire, d'un contrat de travail conclu pour être exécuté dans un autre Etat. Toutefois, cette dernière disposition n'est pas applicable aux travailleurs déplacés pour une mission temporaire n'excédant pas trois mois. Il s'applique en certai",droit_travail,"Code du travail (Loi 2015-532), art. 1",article
Peux-tu m'expliquer ce que prévoit la loi n°2015-532 sur : le présent code du travail est applicable sur tout le territoire de la république,droit_travail,"Code du travail (Loi 2015-532), art. 1",query_variant
"Au sens du présent Code, est considérée comme travailleur ou salarié, quels que soient son sexe, sa race et sa nationalité, toute personne physique qui s'est engagée à mettre son activité professionnelle, moyennant rémunération, sous la direction et l'autorité d'une autre personne physique ou morale, publique ou privée, appelée employeur. Pour la détermination de la qualité de travailleur, il n'est tenu compte ni du statut juridique de l'employeur, ni de celui de l'employé. Toutefois, les dispositions du présent Code ne sont pas applicables aux personnes nommées dans un emploi permanent d'une ",droit_travail,"Code du travail (Loi 2015-532), art. 2",article
"Peux-tu m'expliquer ce que prévoit la loi n°2015-532 sur : au sens du présent code, est considérée comme travailleur ou salarié, quels que soient",droit_travail,"Code du travail (Loi 2015-532), art. 2",query_variant
"Le travail forcé, ou obligatoire est interdit de façon absolue. On entend par travail forcé ou obligatoire, tout travail ou service exigé d'un individu sous la menace d'une peine quelconque pour lequel ledit individu ne s'est pas offert de son plein gré.",droit_travail,"Code du travail (Loi 2015-532), art. 3",article
"Que dit le Code du travail ivoirien concernant : le travail forcé, ou obligatoire est interdit de façon absolue. on entend par travail",droit_travail,"Code du travail (Loi 2015-532), art. 3",query_variant
"Sous réserve des dispositions expresses du présent Code ou de tout autre texte de nature législative ou règlementaire protégeant les femmes et les enfants, aucun employeur ne peut prendre en considération le sexe, l'âge, l'ascendance nationale, la race, la religion, l'opinion politique et religieuse, l'origine sociale, l'appartenance ou la non-appartenance à un syndicat et l'activité syndicale, la séropositivité ou VIH ou le Sida avérés, ou présumés, le handicap des travailleurs pour arrêter ses décisions en ce qui concerne, notamment, l'embauchage, la conduite et la répartition du travail.",droit_travail,"Code du travail (Loi 2015-532), art. 4",article
Peux-tu m'expliquer ce que prévoit la loi n°2015-532 sur : sous réserve des dispositions expresses du présent code ou de tout autre texte de,droit_travail,"Code du travail (Loi 2015-532), art. 4",query_variant
"Aucun salarié, aucune personne en formation ou en stage ne peut être sanctionné ni licencié pour avoir refusé de subir les agissements de harcèlement moral ou sexuel d'un employeur. Le harcèlement se prouve par tous moyens.",droit_travail,"Code du travail (Loi 2015-532), art. 5",article
"Que dit le Code du travail ivoirien concernant : aucun salarié, aucune personne en formation ou en stage ne peut être sanctionné ni",droit_travail,"Code du travail (Loi 2015-532), art. 5",query_variant
Tout licenciement motivé par l'action en justice pour faire respecter les principes et droits fondamentaux au travail est nul et de nul effet.,droit_travail,"Code du travail (Loi 2015-532), art. 6",article
Quelles sont les règles applicables en droit du travail ivoirien pour : tout licenciement motivé par l'action en justice pour faire respecter les principes et droits,droit_travail,"Code du travail (Loi 2015-532), art. 6",query_variant
"Sous réserve de dérogation expresse, les dispositions du présent Code sont d'ordre public.",droit_travail,"Code du travail (Loi 2015-532), art. 8",article
"Quelles sont les règles applicables en droit du travail ivoirien pour : sous réserve de dérogation expresse, les dispositions du présent code sont d'ordre public",droit_travail,"Code du travail (Loi 2015-532), art. 8",query_variant
Les employeurs peuvent embaucher directement leurs travailleurs. Ils peuvent aussi recourir aux services de l'organisme public de placement et aux bureaux ou offices privés de placement.,droit_travail,"Code du travail (Loi 2015-532), art. 11.1",article
Quelles sont les règles applicables en droit du travail ivoirien pour : les employeurs peuvent embaucher directement leurs travailleurs. ils peuvent aussi recourir aux services de,droit_travail,"Code du travail (Loi 2015-532), art. 11.1",query_variant
"Est entrepreneur de travail temporaire une personne physique ou morale dont l'activité exclusive est de mettre à la disposition provisoire d'utilisateurs, personnes physiques ou morales, des salariés qu'elle embauche et rémunère à cet effet en fonction d'une qualification convenue.",droit_travail,"Code du travail (Loi 2015-532), art. 11.4",article
Peux-tu m'expliquer ce que prévoit la loi n°2015-532 sur : est entrepreneur de travail temporaire une personne physique ou morale dont l'activité exclusive est,droit_travail,"Code du travail (Loi 2015-532), art. 11.4",query_variant
Le prêt de main-d'œuvre à but non lucratif est autorisé. Le prêt de main-d'œuvre à but lucratif ne peut être réalisé que dans le cadre du travail temporaire.,droit_travail,"Code du travail (Loi 2015-532), art. 11.5",article
"En tant que salarié en Côte d'Ivoire, que se passe-t-il quand le prêt de main-d'œuvre à but non lucratif est autorisé. le prêt de main-d'œuvre",droit_travail,"Code du travail (Loi 2015-532), art. 11.5",query_variant
L'employeur doit réserver un quota d'emplois aux personnes en situation de handicap possédant la qualification professionnelle requise.,droit_travail,"Code du travail (Loi 2015-532), art. 12.2",article
J'ai une question de droit du travail sur : l'employeur doit réserver un quota d'emplois aux personnes en situation de handicap possédant la,droit_travail,"Code du travail (Loi 2015-532), art. 12.2",query_variant
"Le contrat d'apprentissage est celui par lequel un chef d'établissement industriel, commercial ou agricole, un artisan ou un façonnier s'oblige à donner ou à faire donner une formation professionnelle méthodique et complète à une autre personne.",droit_travail,"Code du travail (Loi 2015-532), art. 13.1",article
"J'ai une question de droit du travail sur : le contrat d'apprentissage est celui par lequel un chef d'établissement industriel, commercial ou agricole",droit_travail,"Code du travail (Loi 2015-532), art. 13.1",query_variant
Nul ne peut recevoir des apprentis mineurs s'il n'est âgé de vingt-et-un ans au moins.,droit_travail,"Code du travail (Loi 2015-532), art. 13.3",article
"En tant que salarié en Côte d'Ivoire, que se passe-t-il quand nul ne peut recevoir des apprentis mineurs s'il n'est âgé de vingt-et-un ans au",droit_travail,"Code du travail (Loi 2015-532), art. 13.3",query_variant
"L'apprenti doit à son maître, dans le cadre de l'apprentissage, obéissance et respect. Il doit l'aider par son travail dans la mesure de ses aptitudes et de ses forces.",droit_travail,"Code du travail (Loi 2015-532), art. 13.9",article
"En tant que salarié en Côte d'Ivoire, que se passe-t-il quand l'apprenti doit à son maître, dans le cadre de l'apprentissage, obéissance et respect. il",droit_travail,"Code du travail (Loi 2015-532), art. 13.9",query_variant
Le travailleur est en droit de bénéficier de la formation professionnelle continue et du perfectionnement professionnel que nécessite l'exercice de son emploi.,droit_travail,"Code du travail (Loi 2015-532), art. 13.23",article
Que dit le Code du travail ivoirien concernant : le travailleur est en droit de bénéficier de la formation professionnelle continue et du,droit_travail,"Code du travail (Loi 2015-532), art. 13.23",query_variant
Le congé de formation est une période de suspension du contrat de travail qui a pour objet de permettre à tout travailleur de suivre à son initiative des actions de formation.,droit_travail,"Code du travail (Loi 2015-532), art. 13.26",article
Quelles sont les règles applicables en droit du travail ivoirien pour : le congé de formation est une période de suspension du contrat de travail qui,droit_travail,"Code du travail (Loi 2015-532), art. 13.26",query_variant
"Le contrat de travail est un accord de volontés par lequel une personne physique s'engage à mettre son activité professionnelle sous la direction et l'autorité d'une autre personne physique ou d'une personne morale, moyennant rémunération.",droit_travail,"Code du travail (Loi 2015-532), art. 14.1",article
Quelles sont les règles applicables en droit du travail ivoirien pour : le contrat de travail est un accord de volontés par lequel une personne physique,droit_travail,"Code du travail (Loi 2015-532), art. 14.1",query_variant
L'existence du contrat de travail se prouve par tous moyens.,droit_travail,"Code du travail (Loi 2015-532), art. 14.4",article
Quelles sont les règles applicables en droit du travail ivoirien pour : l'existence du contrat de travail se prouve par tous moyens,droit_travail,"Code du travail (Loi 2015-532), art. 14.4",query_variant
Le contrat de travail à durée déterminée est un contrat qui prend fin à l'arrivée d'un terme fixé par les parties au moment de sa conclusion.,droit_travail,"Code du travail (Loi 2015-532), art. 15.1",article
J'ai une question de droit du travail sur : le contrat de travail à durée déterminée est un contrat qui prend fin à,droit_travail,"Code du travail (Loi 2015-532), art. 15.1",query_variant
Les contrats à terme précis ne peuvent être conclus pour une durée supérieure à deux ans.,droit_travail,"Code du travail (Loi 2015-532), art. 15.4",article
Que dit le Code du travail ivoirien concernant : les contrats à terme précis ne peuvent être conclus pour une durée supérieure à,droit_travail,"Code du travail (Loi 2015-532), art. 15.4",query_variant
"Le contrat à durée déterminée à terme imprécis, quel que soit son motif, ne peut avoir pour objet ni pour effet de pourvoir durablement un emploi lié à l'activité normale et permanente de l'entreprise.",droit_travail,"Code du travail (Loi 2015-532), art. 15.6",article
"En tant que salarié en Côte d'Ivoire, que se passe-t-il quand le contrat à durée déterminée à terme imprécis, quel que soit son motif, ne",droit_travail,"Code du travail (Loi 2015-532), art. 15.6",query_variant
"Lorsqu'un contrat à durée déterminée prend fin sans que ne soit conclu un contrat à durée indéterminée entre les parties, le travailleur a droit à une indemnité de fin de contrat comme complément de salaire.",droit_travail,"Code du travail (Loi 2015-532), art. 15.8",article
