text,label,source,type
"Le bail à usage d'habitation est régi par les dispositions du Code civil, sous réserve des règles spéciales prévues par le présent sous-titre.",droit_immobilier,"Code de la Construction et de l'Habitat (Loi 2019-576), art. 408",article
"Que dit le droit ivoirien concernant : le bail à usage d'habitation est régi par les dispositions du Code civil, sous réserve",droit_immobilier,"Code de la Construction et de l'Habitat (Loi 2019-576), art. 408",query_variant
Les dispositions du présent sous-titre régissent la location des immeubles ou locaux à usage d'habitation par des personnes physiques ou morales.,droit_immobilier,"Code de la Construction et de l'Habitat (Loi 2019-576), art. 409",article
Peux-tu m'expliquer ce que prévoit la loi sur : les dispositions du présent sous-titre régissent la location des immeubles ou locaux à usage d'habitation,droit_immobilier,"Code de la Construction et de l'Habitat (Loi 2019-576), art. 409",query_variant
"Elle ne s'applique pas : aux immeubles ou locaux affectés à un usage commercial, administratif, industriel agricole ou artisanal ; aux immeubles affectes à l'exercice d'une profession libérale, sauf si les parties en décident autrement dans leur convention ; aux chambres d'hôtel ; aux logements meublés ou non-meublés dans des structures d'hébergement spéciales telles que maisons de retraite, centres intégrés pour personnes âgées, centres de gériatrie, centres pour personnes handicapées.",droit_immobilier,"Code de la Construction et de l'Habitat (Loi 2019-576), art. 410",article
"Quelles sont les règles applicables en matière de : elle ne s'applique pas : aux immeubles ou locaux affectés à un usage commercial, administratif,",droit_immobilier,"Code de la Construction et de l'Habitat (Loi 2019-576), art. 410",query_variant
Le bail est libre. Nul ne peut être contraint au bail.,droit_immobilier,"Code de la Construction et de l'Habitat (Loi 2019-576), art. 411",article
J'ai une question de droit sur : le bail est libre. Nul ne peut être contraint au bail.,droit_immobilier,"Code de la Construction et de l'Habitat (Loi 2019-576), art. 411",query_variant
"Le contrat de bail à usage d'habitation est un contrat intuitu personae. Sauf dispositions légales l'y autorisant ou autorisation expresse du bailleur, le locataire ne peut céder son bail ni sous-louer ou laisser à la disposition de tiers, même à titre gratuit, les locaux loués. Toutefois, les dispositions de l'alinéa précédent ne sont pas applicables aux ascendants et descendants directs du locataire, lorsque ce dernier continue d'honorer ses obligations contractuelles à l'égard du bailleur.",droit_immobilier,"Code de la Construction et de l'Habitat (Loi 2019-576), art. 412",article
Dans quel cas la loi prévoit-elle que le contrat de bail à usage d'habitation est un contrat intuitu personae. Sauf dispositions légales,droit_immobilier,"Code de la Construction et de l'Habitat (Loi 2019-576), art. 412",query_variant
"Le contrat de bail à usage d'habitation est écrit. Il peut être conclu à durée déterminée ou à durée indéterminée. Le contrat de bail à usage d'habitation fait obligatoirement l'objet d'enregistrement auprès de l'administration fiscale. Le contrat de bail à usage d'habitation est enregistré conformément aux conditions et modalités prévues par le Code général des Impôts. Le bailleur ou son représentant remet au locataire, dans le délai de trente jours calendaires, après l'accomplissement des formalités requises, un exemplaire de l'acte d'enregistrement du contrat de bail à usage d'habitation délivré par l'administration fiscale.",droit_immobilier,"Code de la Construction et de l'Habitat (Loi 2019-576), art. 414",article
Que dit le droit ivoirien concernant : le contrat de bail à usage d'habitation est écrit. Il peut être conclu à durée,droit_immobilier,"Code de la Construction et de l'Habitat (Loi 2019-576), art. 414",query_variant
"La conclusion du contrat de bail à usage d'habitation ne peut être liée au paiement de sommes autres que celles prévues par le présent sous-titre. Le bailleur ne peut exiger le paiement de plus de deux mois de loyers d'avance au candidat à la location, lors de la conclusion du contrat de bail à usage d'habitation. Tout paiement de loyer d'avance autre que celui prévu par la présente loi doit faire l'objet d'une déclaration à l'Administration fiscale. La violation de cette disposition constitue une infraction fiscale telle que prévue par le Livre de Procédure fiscale.",droit_immobilier,"Code de la Construction et de l'Habitat (Loi 2019-576), art. 415",article
