text,label,source,type
"Tous les biens sont meubles ou immeubles.
 CHAPITRE PREMIER :
 DES IMMEUBLES",droit_immobilier,"Code Civil II, art. 516",article
Peux-tu m'expliquer ce que prévoit le Code civil sur : tous les biens sont meubles ou immeubles. chapitre premier : des immeubles,droit_immobilier,"Code Civil II, art. 516",query_variant
"Les biens sont immeubles, ou par leur nature, ou par leur destination, ou par l'objet
auquel ils s'appliquent.",droit_immobilier,"Code Civil II, art. 517",article
"Dans quel cas la loi prévoit-elle que les biens sont immeubles, ou par leur nature, ou par leur destination, ou par",droit_immobilier,"Code Civil II, art. 517",query_variant
Les fonds de terre et les bâtiments sont immeubles par leur nature.,droit_immobilier,"Code Civil II, art. 518",article
Quelles sont les règles applicables en matière de : les fonds de terre et les bâtiments sont immeubles par leur nature,droit_immobilier,"Code Civil II, art. 518",query_variant
"Les moulins à vent ou à eau, fixés sur piliers et faisant partie du bâtiment, sont aussi
immeubles par leur nature.",droit_immobilier,"Code Civil II, art. 519",article
"J'ai une question de droit civil sur : les moulins à vent ou à eau, fixés sur piliers et faisant partie du",droit_immobilier,"Code Civil II, art. 519",query_variant
"Les récoltes pendantes par les racines, et les fruits des arbres non encore recueillis,
sont pareillement immeubles.
Dès que les grains sont coupés et les fruits détachés, quoique non enlevés, ils sont
meubles.
Si une partie seulement de la récolte est coupée, cette partie seule est meuble.",droit_immobilier,"Code Civil II, art. 520",article
"Quelles sont les règles applicables en matière de : les récoltes pendantes par les racines, et les fruits des arbres non encore recueillis",droit_immobilier,"Code Civil II, art. 520",query_variant
"Les coupes ordinaires des bois taillis ou des futaies mises en coupes réglées ne
deviennent meubles qu'au fur et à mesure que les arbres sont abattus.",droit_immobilier,"Code Civil II, art. 521",article
Peux-tu m'expliquer ce que prévoit le Code civil sur : les coupes ordinaires des bois taillis ou des futaies mises en coupes réglées ne,droit_immobilier,"Code Civil II, art. 521",query_variant
"Les animaux que le propriétaire du fonds livre au fermier ou au métayer pour la
culture, estimés ou non, sont censés immeubles tant qu'ils demeurent attachés au
fonds par l'effet de la convention.
Ceux qu'il donne à cheptel à d'autres qu'au fermier ou métayer sont meubles.",droit_immobilier,"Code Civil II, art. 522",article
Quelles sont les règles applicables en matière de : les animaux que le propriétaire du fonds livre au fermier ou au métayer pour,droit_immobilier,"Code Civil II, art. 522",query_variant
"Les tuyaux servant à la conduite des eaux dans une maison ou autre héritage sont
immeubles et font partie du fonds auquel ils sont attachés.",droit_immobilier,"Code Civil II, art. 523",article
Peux-tu m'expliquer ce que prévoit le Code civil sur : les tuyaux servant à la conduite des eaux dans une maison ou autre héritage,droit_immobilier,"Code Civil II, art. 523",query_variant
"Les objets que le propriétaire d'un fonds y a placés pour le service et l'exploitation
de ce fonds sont immeubles par destination.
Ainsi, sont immeubles par destination, quand ils ont été placés par le propriétaire
pour le service et l'exploitation du fonds :
 • les animaux attachés à la culture ;
 • les ustensiles aratoires ;
 • les semences données aux fermiers ou colons partiaires ;
 • les pigeons des colombiers ;
 • les lapins des garennes ;
 • les ruches à miel ;
 • les poissons des étangs ;
 • les pressoirs, chaudières, alambics, cuves et tonnes ;
 • les ustensiles nécessaires à l'exploi",droit_immobilier,"Code Civil II, art. 524",article
J'ai une question de droit civil sur : les objets que le propriétaire d'un fonds y a placés pour le service et,droit_immobilier,"Code Civil II, art. 524",query_variant
"Le propriétaire est censé avoir attaché à son fonds des effets mobiliers à perpétuelle
demeure, quand ils y sont scellés en plâtre ou à chaux ou à ciment, ou lorsqu'ils ne
peuvent être détachés sans être fracturés et détériorés, ou sans briser ou détériorer la
partie du fonds à laquelle ils sont attachés.
 Les glaces d'un appartement sont censées mises à perpétuelle demeure, lorsque le
parquet sur lequel elles sont attachées fait corps avec la boiserie. Il en est de même
des tableaux et autres ornements.
Quant aux statues, elles sont immeubles lorsqu'elles sont placées dans une niche
pratiquée",droit_immobilier,"Code Civil II, art. 525",article
Quelles sont les règles applicables en matière de : le propriétaire est censé avoir attaché à son fonds des effets mobiliers à perpétuelle,droit_immobilier,"Code Civil II, art. 525",query_variant
"Sont immeubles par l'objet auquel ils s'appliquent :
 • l'usufruit des choses immobilières ;
 • les servitudes ou services fonciers ;
 • les actions qui tendent à revendiquer un immeuble.
 CHAPITRE 2 :
 DES MEUBLES",droit_immobilier,"Code Civil II, art. 526",article
Quelles sont les règles applicables en matière de : sont immeubles par l'objet auquel ils s'appliquent : • l'usufruit des choses immobilières ,droit_immobilier,"Code Civil II, art. 526",query_variant
"Les biens sont meubles par leur nature, ou par la détermination de la loi.",droit_immobilier,"Code Civil II, art. 527",article
"Peux-tu m'expliquer ce que prévoit le Code civil sur : les biens sont meubles par leur nature, ou par la détermination de la loi",droit_immobilier,"Code Civil II, art. 527",query_variant
"Sont meubles par leur nature, les corps qui peuvent se transporter d'un lieu à un autre,
soit qu'ils se meuvent par eux-mêmes, comme les animaux, soit qu'ils ne puissent
changer de place que par l'effet d'une force étrangère, comme les choses inanimées.",droit_immobilier,"Code Civil II, art. 528",article
"Que dit le droit civil ivoirien concernant : sont meubles par leur nature, les corps qui peuvent se transporter d'un lieu à",droit_immobilier,"Code Civil II, art. 528",query_variant
"Sont meubles par la détermination de la loi, les obligations et actions qui ont pour
objet des sommes exigibles ou des effets mobiliers, les actions ou intérêts dans les
compagnies de finance, de commerce ou d'industrie, encore que des immeubles
dépendant de ces entreprises appartiennent aux compagnies. Ces actions ou intérêts
sont réputés meubles à l'égard de chaque associé seulement, tant que dure la société.
Sont aussi meubles par la détermination de la loi, les rentes perpétuelles.",droit_immobilier,"Code Civil II, art. 529",article
"J'ai une question de droit civil sur : sont meubles par la détermination de la loi, les obligations et actions qui ont",droit_immobilier,"Code Civil II, art. 529",query_variant
"Toute rente établie à perpétuité pour le prix de la vente d'un immeuble, ou comme
condition de la cession à titre onéreux ou gratuit d'un fonds immobilier, est
essentiellement rachetable.
Il est néanmoins permis au créancier de régler les clauses et conditions du rachat.
 Il lui est aussi permis de stipuler que la rente ne pourra lui être remboursée qu'après
un certain terme, lequel ne peut jamais excéder trente ans : toute stipulation contraire
est nulle.",droit_immobilier,"Code Civil II, art. 530",article
"Quelles sont les règles applicables en matière de : toute rente établie à perpétuité pour le prix de la vente d'un immeuble, ou",droit_immobilier,"Code Civil II, art. 530",query_variant
"Les bateaux, bacs, navires, moulins et bains sur bateaux, et généralement toutes
usines non fixées par des piliers, et ne faisant point partie de la maison, sont meubles :
la saisie de quelques-uns de ces objets peut cependant, à cause de leur importance,
être soumise à des formes particulières, ainsi qu'il sera expliqué dans le Code de la
procédure civile.",droit_immobilier,"Code Civil II, art. 531",article
"Que dit le droit civil ivoirien concernant : les bateaux, bacs, navires, moulins et bains sur bateaux, et généralement toutes usines non",droit_immobilier,"Code Civil II, art. 531",query_variant
"Les matériaux provenant de la démolition d'un édifice, ceux assemblés pour en
construire un nouveau, sont meubles jusqu'à ce qu'ils soient employés par l'ouvrier
dans une construction.",droit_immobilier,"Code Civil II, art. 532",article
"Quelles sont les règles applicables en matière de : les matériaux provenant de la démolition d'un édifice, ceux assemblés pour en construire un",droit_immobilier,"Code Civil II, art. 532",query_variant
"Le mot meuble, employé seul dans les dispositions de la loi ou de l'homme, sans
autre addition ni désignation, ne comprend pas l'argent comptant, les pierreries, les
dettes actives, les livres, les médailles, les instruments des sciences, des arts et
métiers, le linge de corps, les chevaux, équipages, armes, grains, vins, foins et autres
denrées ; il ne comprend pas aussi ce qui fait l'objet d'un commerce.",droit_immobilier,"Code Civil II, art. 533",article
"Peux-tu m'expliquer ce que prévoit le Code civil sur : le mot meuble, employé seul dans les dispositions de la loi ou de l'homme",droit_immobilier,"Code Civil II, art. 533",query_variant
"Les mots meubles meublants ne comprennent que les meubles destinés à l'usage et
à l'ornement des appartements, comme tapisseries, lits, sièges, glaces, pendules,
tables, porcelaines et autres objets de cette nature.
 Les tableaux et les statues qui font partie du meuble d'un appartement y sont aussi
compris, mais non les collections de tableaux qui peuvent être dans les galeries ou
pièces particulières.
Il en est de même des porcelaines ; celles seulement qui font partie de la décoration
d'un appartement sont comprises sous la dénomination de meubles meublants.",droit_immobilier,"Code Civil II, art. 534",article
Que dit le droit civil ivoirien concernant : les mots meubles meublants ne comprennent que les meubles destinés à l'usage et à,droit_immobilier,"Code Civil II, art. 534",query_variant
"L'expression biens meubles, celle de mobilier ou d'effets mobiliers comprennent
généralement tout ce qui est censé meuble d'après les règles ci-dessus établies.
La vente ou le don d'une maison meublée ne comprend que les meubles meublants.",droit_immobilier,"Code Civil II, art. 535",article
"J'ai une question de droit civil sur : l'expression biens meubles, celle de mobilier ou d'effets mobiliers comprennent généralement tout ce qui",droit_immobilier,"Code Civil II, art. 535",query_variant
"La vente ou le don d’une maison, avec tout ce qui s'y trouve, ne comprend pas
l'argent comptant, ni les dettes actives et autres droits dont les titres peuvent être
déposés dans la maison ; tous les autres effets mobiliers y sont compris.
 CHAPITRE 3 :
 DES BIENS AVEC LEURS RAPPORTS AVEC CEUX QUI LES
 POSSEDENT",droit_immobilier,"Code Civil II, art. 536",article
"Quelles sont les règles applicables en matière de : la vente ou le don d’une maison, avec tout ce qui s'y trouve, ne",droit_immobilier,"Code Civil II, art. 536",query_variant
"Les particuliers ont la libre disposition des biens qui leur appartiennent, sous les
modifications établies par les lois.
Les biens qui n'appartiennent pas à des particuliers sont administrés et ne peuvent
être aliénés que dans les formes et suivant les règles qui leur sont particulières.",droit_immobilier,"Code Civil II, art. 537",article
"Dans quel cas la loi prévoit-elle que les particuliers ont la libre disposition des biens qui leur appartiennent, sous les modifications",droit_immobilier,"Code Civil II, art. 537",query_variant
"Les chemins, routes et rues à la charge de l'Etat, les fleuves et rivières navigables ou
flottables, les rivages, lais et relais de la mer, les ports, les havres, les rades, et
généralement toutes les portions du territoire français qui ne sont pas susceptibles
d'une propriété privée, sont considérés comme des dépendances du domaine public.",droit_immobilier,"Code Civil II, art. 538",article
"Peux-tu m'expliquer ce que prévoit le Code civil sur : les chemins, routes et rues à la charge de l'etat, les fleuves et rivières",droit_immobilier,"Code Civil II, art. 538",query_variant
"Tous les biens vacants et sans maître, et ceux des personnes qui décèdent sans
héritiers, ou dont les successions sont abandonnées, appartiennent au domaine public.",droit_immobilier,"Code Civil II, art. 539",article
"J'ai une question de droit civil sur : tous les biens vacants et sans maître, et ceux des personnes qui décèdent sans",droit_immobilier,"Code Civil II, art. 539",query_variant
"Les portes, murs, fossés, remparts des places de guerre et des forteresses, font aussi
partie du domaine public.",droit_immobilier,"Code Civil II, art. 540",article
"Quelles sont les règles applicables en matière de : les portes, murs, fossés, remparts des places de guerre et des forteresses, font aussi",droit_immobilier,"Code Civil II, art. 540",query_variant
"Il en est de même dis terrains, des fortifications et remparts des places qui ne sont
plus places de guerre : ils appartiennent à l’Etat, s'ils n'ont été valablement aliénés,
ou si la propriété n'en a pas été prescrite contre lui.",droit_immobilier,"Code Civil II, art. 541",article
"Peux-tu m'expliquer ce que prévoit le Code civil sur : il en est de même dis terrains, des fortifications et remparts des places qui",droit_immobilier,"Code Civil II, art. 541",query_variant
