text,label,source,type
"L'Organisation Africaine de la Propriété Intellectuelle est chargée de mettre en œuvre et d'appliquer les procédures administratives communes découlant d'un régime uniforme de protection de la propriété industrielle, de contribuer à la promotion de la protection de la propriété littéraire et artistique, de centraliser et diffuser les informations relatives à la protection de la propriété littéraire et artistique, de promouvoir le développement économique des Etats membres au moyen d'une protection efficace de la propriété intellectuelle et des droits connexes, et d'assurer la formation en prop",propriete_intel,"Accord de Bangui (OAPI), Article 1",article
Peux-tu m'expliquer ce que prévoit le droit OAPI sur : l'organisation africaine de la propriété intellectuelle est chargée de mettre en œuvre et d'appliquer,propriete_intel,"Accord de Bangui (OAPI), Article 1",query_variant
"Les droits afférents aux domaines de la propriété intellectuelle sont des droits nationaux indépendants, soumis à la législation de chacun des Etats membres dans lesquels ils ont effet.",propriete_intel,"Accord de Bangui (OAPI), Article 2",article
"En Côte d'Ivoire (espace OAPI), que se passe-t-il quand les droits afférents aux domaines de la propriété intellectuelle sont des droits nationaux indépendants",propriete_intel,"Accord de Bangui (OAPI), Article 2",query_variant
"Les annexes à l'Accord contiennent les dispositions applicables dans chaque Etat membre concernant les brevets d'invention, les modèles d'utilité, les marques de produits ou de services, les dessins et modèles industriels, les noms commerciaux, les indications géographiques, la propriété littéraire et artistique, la protection contre la concurrence déloyale, les schémas de configuration des circuits intégrés et la protection des obtentions végétales.",propriete_intel,"Accord de Bangui (OAPI), Article 3",article
Quelles sont les règles de propriété intellectuelle applicables pour : les annexes à l'accord contiennent les dispositions applicables dans chaque etat membre concernant les,propriete_intel,"Accord de Bangui (OAPI), Article 3",query_variant
"Les dépôts de demandes de brevets d'invention, d'enregistrement de modèles d'utilité, de marques de produits ou de services, de dessins ou modèles industriels, de noms commerciaux, d'indications géographiques sont effectués directement auprès de l'Organisation ; tout Etat membre peut exiger que, lorsque le déposant est domicilié sur son territoire, la demande soit déposée auprès de l'Administration Nationale de cet Etat.",propriete_intel,"Accord de Bangui (OAPI), Article 4",article
"Quelles sont les règles de propriété intellectuelle applicables pour : les dépôts de demandes de brevets d'invention, d'enregistrement de modèles d'utilité, de marques de",propriete_intel,"Accord de Bangui (OAPI), Article 4",query_variant
Les déposants domiciliés hors des territoires des Etats membres effectuent le dépôt par l'intermédiaire d'un mandataire choisi dans l'un des Etats membres.,propriete_intel,"Accord de Bangui (OAPI), Article 5",article
Quelles sont les règles de propriété intellectuelle applicables pour : les déposants domiciliés hors des territoires des etats membres effectuent le dépôt par l'intermédiaire,propriete_intel,"Accord de Bangui (OAPI), Article 5",query_variant
"L'Organisation tient, pour l'ensemble des Etats membres, un registre spécial des brevets, un registre spécial des modèles d'utilité, un registre spécial des marques de produits ou de services, un registre spécial des dessins et modèles industriels, un registre spécial des noms commerciaux, un registre spécial des indications géographiques, un registre spécial des obtentions végétales, et un registre spécial des schémas de configuration des circuits intégrés.",propriete_intel,"Accord de Bangui (OAPI), Article 6",article
"En Côte d'Ivoire (espace OAPI), que se passe-t-il quand l'organisation tient, pour l'ensemble des etats membres, un registre spécial des brevets, un registre",propriete_intel,"Accord de Bangui (OAPI), Article 6",query_variant
"Toute personne peut consulter les registres et en obtenir des extraits, aux conditions prévues dans le Règlement d'application.",propriete_intel,"Accord de Bangui (OAPI), Article 7",article
"En Côte d'Ivoire (espace OAPI), que se passe-t-il quand toute personne peut consulter les registres et en obtenir des extraits, aux conditions prévues",propriete_intel,"Accord de Bangui (OAPI), Article 7",query_variant
"En cas de divergence entre les dispositions contenues dans l'Accord ou dans ses annexes et les règles contenues dans les conventions internationales auxquelles les Etats membres sont parties, ces dernières prévalent.",propriete_intel,"Accord de Bangui (OAPI), Article 8",article
Quelles sont les règles de propriété intellectuelle applicables pour : en cas de divergence entre les dispositions contenues dans l'accord ou dans ses annexes,propriete_intel,"Accord de Bangui (OAPI), Article 8",query_variant
"Les décisions judiciaires définitives rendues sur la validité des titres dans l'un des Etats membres font autorité dans tous les autres Etats membres, exceptées celles fondées sur l'ordre public et les bonnes mœurs.",propriete_intel,"Accord de Bangui (OAPI), Article 9",article
Quelles sont les règles de propriété intellectuelle applicables pour : les décisions judiciaires définitives rendues sur la validité des titres dans l'un des etats,propriete_intel,"Accord de Bangui (OAPI), Article 9",query_variant
Les décisions sur les cas de rejet ou d'opposition prises par l'Organisation sont susceptibles de recours devant la Commission Supérieure de Recours siégeant auprès de ladite Organisation.,propriete_intel,"Accord de Bangui (OAPI), Article 10",article
J'ai une question de propriété industrielle sur : les décisions sur les cas de rejet ou d'opposition prises par l'organisation sont susceptibles,propriete_intel,"Accord de Bangui (OAPI), Article 10",query_variant
Une invention s'entend d'une idée qui permet dans la pratique la solution d'un problème particulier dans le domaine de la technique. Un brevet s'entend du titre délivré pour protéger une invention.,propriete_intel,"Accord de Bangui (OAPI), BREVETS Article 1",article
J'ai une question de propriété industrielle sur : une invention s'entend d'une idée qui permet dans la pratique la solution d'un problème,propriete_intel,"Accord de Bangui (OAPI), BREVETS Article 1",query_variant
"Peut faire l'objet d'un brevet d'invention l'invention nouvelle, impliquant une activité inventive et susceptible d'application industrielle. L'invention peut consister en, ou se rapporter à un produit, un procédé, ou à l'utilisation de ceux-ci.",propriete_intel,"Accord de Bangui (OAPI), BREVETS Article 2",article
"J'ai une question de propriété industrielle sur : peut faire l'objet d'un brevet d'invention l'invention nouvelle, impliquant une activité inventive et susceptible",propriete_intel,"Accord de Bangui (OAPI), BREVETS Article 2",query_variant
"Une invention est nouvelle si elle n'a pas d'antériorité dans l'état de la technique, constitué par tout ce qui a été rendu accessible au public avant le jour du dépôt de la demande du brevet.",propriete_intel,"Accord de Bangui (OAPI), BREVETS Article 3",article
Que dit l'Accord de Bangui (OAPI) concernant : une invention est nouvelle si elle n'a pas d'antériorité dans l'état de la technique,propriete_intel,"Accord de Bangui (OAPI), BREVETS Article 3",query_variant
"Une invention est considérée comme résultant d'une activité inventive si, pour un homme du métier ayant des connaissances et une habileté moyennes, elle ne découle pas d'une manière évidente de l'état de la technique.",propriete_intel,"Accord de Bangui (OAPI), BREVETS Article 4",article
"Peux-tu m'expliquer ce que prévoit le droit OAPI sur : une invention est considérée comme résultant d'une activité inventive si, pour un homme du",propriete_intel,"Accord de Bangui (OAPI), BREVETS Article 4",query_variant
"Une invention est considérée comme susceptible d'application industrielle si son objet peut être fabriqué ou utilisé dans tout genre d'industrie, y compris l'artisanat, l'agriculture, la pêche et les services.",propriete_intel,"Accord de Bangui (OAPI), BREVETS Article 5",article
J'ai une question de propriété industrielle sur : une invention est considérée comme susceptible d'application industrielle si son objet peut être fabriqué,propriete_intel,"Accord de Bangui (OAPI), BREVETS Article 5",query_variant
"Ne peuvent être brevetés : l'invention dont l'exploitation est contraire à l'ordre public ou aux bonnes mœurs ; les découvertes, les théories scientifiques et les méthodes mathématiques ; les variétés végétales et races animales ; les plans, principes ou méthodes en vue de faire des affaires ; les méthodes de traitement du corps humain ou animal par la chirurgie ou la thérapie ; les programmes d'ordinateurs ; les œuvres littéraires, architecturales et artistiques.",propriete_intel,"Accord de Bangui (OAPI), BREVETS Article 6",article
Que dit l'Accord de Bangui (OAPI) concernant : ne peuvent être brevetés : l'invention dont l'exploitation est contraire à l'ordre public ou,propriete_intel,"Accord de Bangui (OAPI), BREVETS Article 6",query_variant
"Le brevet confère à son titulaire le droit exclusif d'exploiter l'invention brevetée et le droit d'interdire à toute personne l'exploitation de l'invention brevetée sans son consentement. Le titulaire a aussi le droit de céder, ou de transmettre par voie successorale le brevet et de conclure des contrats de licence.",propriete_intel,"Accord de Bangui (OAPI), BREVETS Article 7",article
Peux-tu m'expliquer ce que prévoit le droit OAPI sur : le brevet confère à son titulaire le droit exclusif d'exploiter l'invention brevetée et le,propriete_intel,"Accord de Bangui (OAPI), BREVETS Article 7",query_variant
"Les droits découlant du brevet ne s'étendent pas aux actes relatifs à des objets mis dans le commerce par le titulaire du brevet ou avec son consentement, ni aux actes accomplis à des fins expérimentales dans le cadre de la recherche scientifique et technique.",propriete_intel,"Accord de Bangui (OAPI), BREVETS Article 8",article
Peux-tu m'expliquer ce que prévoit le droit OAPI sur : les droits découlant du brevet ne s'étendent pas aux actes relatifs à des objets,propriete_intel,"Accord de Bangui (OAPI), BREVETS Article 8",query_variant
Le brevet expire au terme de la vingtième année civile à compter de la date de dépôt de la demande.,propriete_intel,"Accord de Bangui (OAPI), BREVETS Article 9",article
Peux-tu m'expliquer ce que prévoit le droit OAPI sur : le brevet expire au terme de la vingtième année civile à compter de la,propriete_intel,"Accord de Bangui (OAPI), BREVETS Article 9",query_variant
"Le droit au brevet d'invention appartient à l'inventeur ; le déposant est réputé être le titulaire du droit. Si plusieurs personnes ont fait une invention en commun, le droit au brevet leur appartient en commun.",propriete_intel,"Accord de Bangui (OAPI), BREVETS Article 10",article
Quelles sont les règles de propriété intellectuelle applicables pour : le droit au brevet d'invention appartient à l'inventeur ; le déposant est réputé être,propriete_intel,"Accord de Bangui (OAPI), BREVETS Article 10",query_variant
"Sauf stipulations contractuelles contraires, le droit au brevet pour une invention faite en exécution d'un contrat de travail appartient à l'employeur. L'employé qui a réalisé l'invention a droit à une rémunération tenant compte de l'importance de l'invention brevetée.",propriete_intel,"Accord de Bangui (OAPI), BREVETS Article 11",article
"Quelles sont les règles de propriété intellectuelle applicables pour : sauf stipulations contractuelles contraires, le droit au brevet pour une invention faite en exécution",propriete_intel,"Accord de Bangui (OAPI), BREVETS Article 11",query_variant
"Quiconque veut obtenir un brevet d'invention doit déposer sa demande au Directeur général de l'Organisation, accompagnée d'une description de l'invention, des dessins nécessaires, de la ou des revendications définissant l'étendue de la protection recherchée, et d'un abrégé descriptif.",propriete_intel,"Accord de Bangui (OAPI), BREVETS Article 14",article
Peux-tu m'expliquer ce que prévoit le droit OAPI sur : quiconque veut obtenir un brevet d'invention doit déposer sa demande au directeur général de,propriete_intel,"Accord de Bangui (OAPI), BREVETS Article 14",query_variant
"Lorsque l'Organisation constate que toutes les conditions requises pour la délivrance du brevet sont remplies, elle notifie la décision et délivre le brevet demandé, sans garantie de la réalité, de la nouveauté ou du mérite de l'invention.",propriete_intel,"Accord de Bangui (OAPI), BREVETS Article 22",article
