text,label,source,type
"Les lois sont exécutoires, dans tout le territoire ivoirien, de la promulgation qui en est faite par le Président de la République.",droit_famille,"Code civil I (personnes/famille), art. 1",article
"Que dit le droit civil ivoirien concernant : les lois sont exécutoires, dans tout le territoire ivoirien, de la promulgation qui en",droit_famille,"Code civil I (personnes/famille), art. 1",query_variant
"La loi ne dispose que pour l'avenir, elle n'a point d'effet rétroactif.",droit_famille,"Code civil I (personnes/famille), art. 2",article
"En Côte d'Ivoire, que se passe-t-il quand la loi ne dispose que pour l'avenir, elle n'a point d'effet rétroactif",droit_famille,"Code civil I (personnes/famille), art. 2",query_variant
"Les lois de police et de sûreté obligent tous ceux qui habitent le territoire. Les immeubles, même ceux possédés par des étrangers, sont régis par la loi ivoirienne. Les lois concernant l'état et la capacité des personnes régissent les Ivoiriens, même résidant en pays étrangers.",droit_famille,"Code civil I (personnes/famille), art. 3",article
Peux-tu m'expliquer ce que prévoit la loi ivoirienne sur : les lois de police et de sûreté obligent tous ceux qui habitent le territoire,droit_famille,"Code civil I (personnes/famille), art. 3",query_variant
"Le juge qui refusera de juger, sous prétexte du silence, de l'obscurité ou de l'insuffisance de la loi, pourra être poursuivi comme coupable de déni de justice.",droit_famille,"Code civil I (personnes/famille), art. 4",article
"Peux-tu m'expliquer ce que prévoit la loi ivoirienne sur : le juge qui refusera de juger, sous prétexte du silence, de l'obscurité ou de",droit_famille,"Code civil I (personnes/famille), art. 4",query_variant
"On ne peut déroger, par des conventions particulières, aux lois qui intéressent l'ordre public et les bonnes mœurs.",droit_famille,"Code civil I (personnes/famille), art. 6",article
"J'ai une question de droit de la famille sur : on ne peut déroger, par des conventions particulières, aux lois qui intéressent l'ordre public",droit_famille,"Code civil I (personnes/famille), art. 6",query_variant
"L'exercice des droits civils est indépendant de l'exercice des droits politiques, lesquels s'acquièrent et se conservent conformément aux lois constitutionnelles et électorales.",droit_famille,"Code civil I (personnes/famille), art. 7",article
"Quelles sont les règles applicables en droit de la famille pour : l'exercice des droits civils est indépendant de l'exercice des droits politiques, lesquels s'acquièrent et",droit_famille,"Code civil I (personnes/famille), art. 7",query_variant
Tout Ivoirien jouira des droits civils.,droit_famille,"Code civil I (personnes/famille), art. 8",article
Peux-tu m'expliquer ce que prévoit la loi ivoirienne sur : tout ivoirien jouira des droits civils,droit_famille,"Code civil I (personnes/famille), art. 8",query_variant
"L'étranger jouira en Côte d'Ivoire, des mêmes droits civils que ceux qui sont ou seront accordés aux Ivoiriens par les traités de la nation à laquelle cet étranger appartiendra.",droit_famille,"Code civil I (personnes/famille), art. 11",article
"J'ai une question de droit de la famille sur : l'étranger jouira en côte d'ivoire, des mêmes droits civils que ceux qui sont ou",droit_famille,"Code civil I (personnes/famille), art. 11",query_variant
"Le domicile de tout Ivoirien, quant à l'exercice de ses droits civils, est au lieu où il a son principal établissement.",droit_famille,"Code civil I (personnes/famille), art. 102",article
"Peux-tu m'expliquer ce que prévoit la loi ivoirienne sur : le domicile de tout ivoirien, quant à l'exercice de ses droits civils, est au",droit_famille,"Code civil I (personnes/famille), art. 102",query_variant
La femme mariée n'a point d'autre domicile que celui de son mari. Le mineur non émancipé aura son domicile chez ses père et mère ou tuteur.,droit_famille,"Code civil I (personnes/famille), art. 108",article
Quelles sont les règles applicables en droit de la famille pour : la femme mariée n'a point d'autre domicile que celui de son mari. le mineur,droit_famille,"Code civil I (personnes/famille), art. 108",query_variant
"Lorsqu'une personne aura cessé de paraître au lieu de son domicile ou de sa résidence, et que depuis quatre ans on n'en aura point eu de nouvelles, les parties intéressées pourront se pourvoir devant le Tribunal de première instance, afin que l'absence soit déclarée.",droit_famille,"Code civil I (personnes/famille), art. 115",article
Peux-tu m'expliquer ce que prévoit la loi ivoirienne sur : lorsqu'une personne aura cessé de paraître au lieu de son domicile ou de sa,droit_famille,"Code civil I (personnes/famille), art. 115",query_variant
"Dans le cas où l'absent n'aurait point laissé de procuration pour l'administration de ses biens, ses héritiers présomptifs pourront, en vertu du jugement définitif qui aura déclaré l'absence, se faire envoyer en possession provisoire des biens qui appartenaient à l'absent.",droit_famille,"Code civil I (personnes/famille), art. 120",article
J'ai une question de droit de la famille sur : dans le cas où l'absent n'aurait point laissé de procuration pour l'administration de ses,droit_famille,"Code civil I (personnes/famille), art. 120",query_variant
"Ceux qui, par suite de l'envoi provisoire ou de l'administration, auront joui des biens de l'absent, ne seront tenus de lui rendre que le cinquième des revenus s'il reparaît avant quinze ans révolus depuis le jour de sa disparition ; et le dixième s'il ne reparaît qu'après. Après trente ans d'absence, la totalité des revenus leur appartiendra.",droit_famille,"Code civil I (personnes/famille), art. 127",article
"Peux-tu m'expliquer ce que prévoit la loi ivoirienne sur : ceux qui, par suite de l'envoi provisoire ou de l'administration, auront joui des biens",droit_famille,"Code civil I (personnes/famille), art. 127",query_variant
"Si l'absent reparaît, ou si son existence est prouvée, même après l'envoi définitif, il recouvrera ses biens dans l'état où ils se trouveront.",droit_famille,"Code civil I (personnes/famille), art. 132",article
"En Côte d'Ivoire, que se passe-t-il quand si l'absent reparaît, ou si son existence est prouvée, même après l'envoi définitif, il",droit_famille,"Code civil I (personnes/famille), art. 132",query_variant
